Region,Availability Zone,Instance Name,Instance ID,Instance Type,Lifecycle,AMI ID,AMI Name
us-west-1,us-west-1b,ip-10-202-201-0.us-west-1.compute.internal,i-012bdac96cbb78471,m6g.2xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-224-248.us-west-1.compute.internal,i-04185a119a4119e84,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,prod-mms,i-09b04bbfd859a68b0,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-ryuk,i-0d8db6d84bc341c24,t3.medium,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,ip-10-202-217-22.us-west-1.compute.internal,i-04f2f4e6d0d895a7f,r5n.2xlarge,spot,ami-09f458f3f29f9e154,plivo/amazon-eks-x86_64-node-1.31-1736335774-677e619e-3f80-dc17-5c2a-5eafba44ef11
us-west-1,us-west-1b,prod-voice-core-ms,i-0294adb9386b8b8d5,c7g.2xlarge,On-demand,ami-0d7a6bb4452a09fdd,plivo/debian-bullseye-hvm-11-arm-server-1727760377-66fb87f9-f2ca-d380-5b10-aae320715ede
us-west-1,us-west-1b,prod-sms-numberlookup,i-01e02ea5dd8de08e4,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-fin-systems,i-016f41a23045bbcfb,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-fin-systems-dag,i-04441d9daa04fd4c5,c5d.xlarge,spot,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-voice-core-ms,i-0216a946fa2a8af97,c7g.2xlarge,On-demand,ami-0d7a6bb4452a09fdd,plivo/debian-bullseye-hvm-11-arm-server-1727760377-66fb87f9-f2ca-d380-5b10-aae320715ede
us-west-1,us-west-1b,prod-voice-core-ms,i-001e69621fdbc8e34,c7g.2xlarge,On-demand,ami-0d7a6bb4452a09fdd,plivo/debian-bullseye-hvm-11-arm-server-1727760377-66fb87f9-f2ca-d380-5b10-aae320715ede
us-west-1,us-west-1b,ip-10-202-226-254.us-west-1.compute.internal,i-0f0868909475de4e5,c6g.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-222-15.us-west-1.compute.internal,i-0f271f9418f610332,r6g.2xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-225-208.us-west-1.compute.internal,i-0bcf17807ce8ca8f0,m6gd.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,prod-voice-core-ms,i-0617d221ea82262d2,c7g.2xlarge,On-demand,ami-0d7a6bb4452a09fdd,plivo/debian-bullseye-hvm-11-arm-server-1727760377-66fb87f9-f2ca-d380-5b10-aae320715ede
us-west-1,us-west-1b,ip-10-202-254-59.us-west-1.compute.internal,i-02a3ad61e86149c92,c6g.xlarge,spot,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,ip-10-202-199-112.us-west-1.compute.internal,i-08780af51dd2acfff,m6gd.xlarge,On-demand,ami-0f5ddea019c71bae7,plivo/amazon-eks-arm64-node-1.31-1736335775-677e619f-4ab8-c75d-7dd6-7edc44f4bdb9
us-west-1,us-west-1b,prod-fin-systems,i-0547352ff4f7c640f,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-sms-shared,i-0a5e89dc3ed8d2c0d,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-sms-shared,i-0c47f1c75c71b99e4,c5.large,On-demand,ami-04a9300904d02a7fe,bottlerocket-aws-ecs-2-x86_64-v1.24.0-800458c4
us-west-1,us-west-1b,prod-central-accsrv,i-071e349b0553aefd8,m5.large,On-demand,ami-09c209f7cb602af34,plivo/amzn2-ami-ecs-hvm-2.0.1718313299-666b6153-a917-5365-0c6f-7ec3778d7f22-x86_64-ebs
us-west-1,us-west-1b,prod-central-accsrv,i-061649ced5f6ae811,m5.large,On-demand,ami-09c209f7cb602af34,plivo/amzn2-ami-ecs-hvm-2.0.1718313299-666b6153-a917-5365-0c6f-7ec3778d7f22-x86_64-ebs
